calories,carbohydrate,sugar,protein,category,servings,high_traffic
,,,,Pork,6,1
35.48,38.56,0.66,0.92,Potato,4,1
914.28,42.68,3.09,2.88,Breakfast,1,0
97.03,30.56,38.63,0.02,Beverages,4,1
27.05,1.85,0.8,0.53,Beverages,4,0
691.15,3.46,1.65,53.93,One Dish Meal,2,1
183.94,47.95,9.75,46.71,Chicken,4,0
299.14,3.17,0.4,32.4,Lunch/Snacks,4,0
538.52,3.78,3.37,3.79,Pork,6,1
248.28,48.54,3.99,113.85,Chicken,2,0
170.12,17.63,4.1,0.91,Beverages,1,0
155.8,8.27,9.78,11.55,Breakfast,6,0
274.63,23.49,1.56,2.57,Potato,4,1
25.23,11.51,10.32,9.57,Vegetable,4,1
217.14,6.69,10.0,15.17,Meat,4,1
316.45,2.65,4.68,79.71,Meat,6,1
454.27,1.87,2.95,61.07,Meat,2,1
1695.82,0.1,0.39,33.17,Meat,1,1
1090.75,4.65,0.69,3.49,Meat,6,1
127.55,27.55,1.51,8.91,Chicken,2,0
9.26,17.44,8.16,10.81,Potato,6,1
40.53,87.91,104.91,11.93,Dessert,4,0
82.73,3.17,7.95,26.04,Breakfast,4,0
,,,,Meat,2,0
1161.49,1.53,8.88,12.57,Breakfast,1,1
56.29,22.35,11.38,34.79,One Dish Meal,4,1
411.16,51.7,27.78,70.3,Pork,2,1
574.75,13.12,1.84,13.85,Potato,4,1
595.39,62.67,2.64,4.96,Potato,2,1
164.76,33.58,17.87,220.14,One Dish Meal,2,1
215.98,52.66,6.25,32.32,Pork,2,1
617.11,23.1,32.83,45.89,Breakfast,6,0
347.06,9.5,5.92,82.58,Chicken,4,0
497.17,1.47,1.51,2.97,Lunch/Snacks,6,1
575.63,20.71,0.2,6.24,Breakfast,6,1
796.89,29.1,9.63,2.28,Lunch/Snacks,2,0
1321.78,70.07,7.75,19.51,Breakfast,1,0
44.55,99.82,2.62,15.57,Breakfast,4,0
264.62,1.5,18.44,32.62,Chicken,4,0
44.81,4.62,0.4,5.9,Vegetable,4,1
621.54,14.16,10.7,39.69,Chicken,6,1
290.1,4.43,1.05,40.64,Breakfast,4,0
576.89,4.79,20.92,4.29,One Dish Meal,2,0
262.12,17.46,0.33,87.05,Chicken,4,0
64.29,16.95,0.77,11.2,Breakfast,1,0
83.39,13.06,1.62,3.44,Vegetable,6,1
69.01,39.17,39.54,0.17,Beverages,4,0
43.91,48.16,4.58,7.92,Breakfast,4,0
,,,,Chicken,4,0
1724.25,45.52,0.07,49.37,Breakfast,1,1
293.36,19.16,9.4,1.32,Pork,2,0
1279.53,19.56,1.08,18.2,Pork,4,1
367.3,89.84,6.96,73.35,Chicken,2,0
74.56,47.47,16.36,45.15,Pork,4,1
131.51,33.32,1.7,87.11,Pork,6,1
2122.24,25.99,0.52,81.37,Pork,1,1
47.17,60.93,13.82,10.8,Vegetable,4,1
191.78,9.17,0.65,66.69,Chicken,1,0
6.23,56.43,5.6,2.12,Lunch/Snacks,6,1
384.93,74.38,76.53,2.17,Dessert,2,0
616.95,69.45,7.77,3.12,Dessert,4,1
187.87,55.51,9.99,86.09,One Dish Meal,4,0
160.05,42.45,1.6,44.38,One Dish Meal,2,1
813.08,88.55,0.47,136.89,Chicken,1,1
566.2,1.72,2.54,4.24,Meat,4,1
260.33,0.51,1.24,4.53,Dessert,1,0
61.78,13.87,10.68,0.72,Beverages,2,0
717.72,71.21,14.02,7.1,Breakfast,4,0
1105.15,6.63,3.79,71.51,Chicken,1,0
799.39,23.14,3.33,19.75,One Dish Meal,1,0
100.0,95.89,10.2,114.6,Lunch/Snacks,4,0
2508.47,18.11,10.6,84.23,Chicken,4,0
38.22,13.09,3.8,2.09,Beverages,1,0
288.6,10.5,8.83,102.53,One Dish Meal,4,0
320.57,83.79,16.24,2.07,Dessert,1,1
767.16,24.76,0.57,31.07,Potato,4,1
557.66,36.78,3.0,19.55,One Dish Meal,1,1
65.52,2.67,0.07,0.51,Dessert,2,0
791.49,98.51,5.8,91.51,Breakfast,1,0
19.91,35.47,2.17,11.82,Breakfast,1,1
81.56,33.08,2.34,11.2,Breakfast,4,1
65.69,7.99,9.23,14.52,Breakfast,4,1
,,,,Meat,4,1
886.47,78.02,16.39,2.37,Breakfast,2,0
85.17,29.96,0.57,5.24,Chicken,2,1
662.78,47.61,4.08,2.39,Meat,1,1
113.03,23.45,0.47,62.08,Meat,4,1
374.27,74.16,5.91,0.38,Lunch/Snacks,2,0
193.17,4.49,3.01,46.9,Breakfast,4,1
,,,,Pork,6,1
388.37,13.67,11.13,2.67,Breakfast,6,0
106.87,0.88,7.28,5.67,Vegetable,4,1
34.77,10.48,12.33,8.63,Breakfast,6,0
113.84,37.57,1.21,21.31,Chicken,4,0
826.83,145.32,6.48,3.04,Potato,4,1
356.64,1.24,54.47,0.48,Beverages,4,0
88.57,14.31,47.32,5.67,Dessert,1,1
2081.69,8.09,4.78,28.48,One Dish Meal,2,1
131.8,29.18,5.85,8.42,Breakfast,2,1
672.26,88.81,6.31,20.89,Lunch/Snacks,2,0
266.41,58.44,4.19,10.96,Chicken,4,0
198.98,87.68,0.39,39.12,Vegetable,4,1
165.2,8.24,0.4,2.5,Chicken,4,0
1075.91,3.67,15.1,45.62,Meat,4,1
413.67,20.8,5.75,54.13,Breakfast,1,0
396.37,16.85,2.48,0.27,Beverages,1,1
766.01,9.43,0.82,66.71,Meat,1,0
196.68,2.28,9.12,2.17,Vegetable,1,1
612.64,38.55,10.06,5.65,Dessert,6,1
161.32,32.21,7.15,6.09,Lunch/Snacks,4,1
46.99,24.72,2.13,10.8,Breakfast,4,0
409.66,31.32,13.83,29.86,Meat,1,1
719.02,49.37,1.22,5.72,Potato,4,1
76.77,48.84,22.95,4.88,Meat,2,1
177.84,10.67,2.21,3.02,Lunch/Snacks,2,1
26.76,5.17,2.39,4.45,Vegetable,4,1
,,,,Chicken,6,1
209.65,49.36,0.96,2.15,Breakfast,4,0
28.83,31.55,38.36,3.57,Dessert,2,0
443.2,16.2,10.35,0.01,Vegetable,4,1
1114.94,31.45,13.02,1.33,Meat,2,1
,,,,Dessert,2,1
384.59,1.93,8.6,0.86,Beverages,1,0
38.92,12.9,11.32,69.53,Chicken,1,0
2906.01,3.52,1.89,179.22,Pork,6,1
180.42,9.64,6.87,15.59,Breakfast,4,1
324.0,79.18,1.7,7.03,One Dish Meal,4,1
960.75,190.84,4.13,96.91,One Dish Meal,4,1
72.71,38.4,4.37,7.44,Breakfast,4,0
528.9,18.65,3.31,6.04,Potato,4,0
190.52,2.57,0.56,1.58,Beverages,6,0
160.08,14.21,10.22,3.81,Potato,4,1
93.62,3.74,29.41,4.62,Dessert,4,1
959.51,4.4,44.54,12.12,Dessert,1,0
104.25,44.61,5.12,2.89,Vegetable,4,1
115.95,156.23,7.9,49.63,One Dish Meal,4,1
,,,,One Dish Meal,2,1
24.05,59.63,0.31,142.03,Chicken,4,1
96.06,51.94,2.65,13.07,Breakfast,6,1
13.62,92.02,0.89,44.92,One Dish Meal,1,1
4.22,3.46,10.93,0.74,Beverages,6,0
24.21,67.02,13.47,7.82,Breakfast,6,0
94.41,25.98,23.79,1.49,Dessert,4,1
42.01,12.0,11.7,1.32,Beverages,1,0
296.92,1.42,11.15,25.19,Breakfast,2,1
258.16,7.53,1.2,40.32,Chicken,6,0
229.58,39.93,1.09,6.66,Potato,4,1
1568.0,15.49,5.23,53.23,Chicken,1,0
205.98,61.85,2.89,14.45,Chicken,4,1
,,,,Potato,2,1
286.54,21.1,1.53,4.1,Breakfast,6,1
311.39,43.2,1.13,3.36,Vegetable,1,1
178.98,4.34,17.29,18.49,Vegetable,4,1
272.31,73.05,7.68,0.29,Beverages,2,0
188.42,34.29,5.55,3.15,Breakfast,4,1
836.95,32.82,59.04,0.32,Beverages,2,0
81.01,0.35,1.27,1.19,Beverages,4,0
766.8,13.6,8.27,17.85,Lunch/Snacks,6,0
335.43,23.88,2.77,38.18,Vegetable,6,1
777.37,101.73,2.52,5.12,Dessert,4,1
353.58,12.82,1.02,6.39,One Dish Meal,1,1
859.11,73.16,14.6,3.3,Dessert,6,1
935.77,8.74,2.39,71.88,Chicken,2,0
379.87,13.94,0.57,43.68,Chicken,4,1
18.62,22.46,10.06,1.12,Beverages,6,0
181.1,7.33,2.4,104.07,Chicken,1,1
25.83,0.13,2.24,28.6,Chicken,6,0
4.41,239.06,19.54,3.76,Dessert,1,1
1044.92,24.34,5.6,4.66,Chicken,4,0
607.13,23.0,39.52,26.15,Breakfast,4,1
431.28,14.69,4.17,32.79,One Dish Meal,2,1
76.08,13.95,8.59,1.05,Beverages,4,0
98.76,7.28,16.56,1.15,Beverages,4,0
180.52,12.4,24.65,5.08,Dessert,2,1
16.58,5.66,14.41,19.94,Breakfast,6,1
382.85,3.38,44.22,0.36,Beverages,2,0
918.21,13.01,7.68,122.39,Chicken,4,0
114.0,113.65,3.1,26.36,Lunch/Snacks,4,0
336.52,1.05,1.89,5.22,Lunch/Snacks,2,0
410.34,28.09,3.5,128.84,Chicken,4,1
44.77,11.91,7.93,1.07,Potato,6,1
580.94,23.16,20.99,5.63,Dessert,6,1
699.44,56.65,3.2,3.48,Vegetable,4,1
61.8,6.28,0.72,15.46,Vegetable,4,0
62.59,23.96,6.25,30.83,One Dish Meal,6,0
1266.75,154.18,0.59,0.46,Lunch/Snacks,4,1
515.49,5.88,13.29,13.96,Lunch/Snacks,1,1
,,,,Pork,4,1
181.86,33.04,44.67,5.48,Dessert,4,1
529.68,23.75,2.28,15.81,Breakfast,1,1
1330.3,1.63,6.39,70.31,Meat,4,0
646.15,22.1,39.34,16.73,Dessert,6,0
1243.9,74.77,0.75,8.2,Lunch/Snacks,2,0
497.71,3.73,18.85,8.09,Chicken,2,1
267.51,15.99,5.77,0.95,Dessert,1,0
336.27,37.38,6.53,23.12,Lunch/Snacks,1,1
216.1,7.93,1.2,151.64,Chicken,6,0
278.05,9.85,12.93,26.75,Chicken,6,1
641.05,26.99,1.08,20.2,Meat,1,0
52.32,2.84,2.96,88.21,Meat,4,1
89.72,10.83,2.26,4.52,Vegetable,2,1
113.97,12.54,0.64,7.93,Vegetable,6,1
648.05,19.28,0.19,35.28,Breakfast,2,0
66.16,10.45,1.07,8.81,One Dish Meal,2,1
258.33,5.22,8.23,29.05,Breakfast,1,1
283.72,34.05,1.63,0.92,Lunch/Snacks,6,1
551.7,1.11,5.9,186.18,Pork,4,1
20.98,1.26,9.8,0.82,Beverages,1,0
10.21,44.63,17.74,13.51,Pork,4,1
,,,,Dessert,2,1
1165.14,0.14,4.36,9.64,Potato,1,1
310.1,48.58,35.01,40.12,Pork,4,1
,,,,Dessert,4,1
816.25,5.42,8.24,37.47,Meat,1,1
299.32,9.58,2.5,125.5,Chicken,6,1
280.13,1.1,7.58,0.56,Beverages,2,0
25.51,40.64,1.67,3.26,Lunch/Snacks,2,1
1292.18,89.2,14.22,80.03,Chicken,4,1
166.44,0.53,29.68,4.86,Dessert,6,1
1330.48,10.34,5.22,77.57,Chicken,1,0
625.76,23.38,11.99,25.79,Breakfast,2,1
,,,,Dessert,1,0
48.11,5.13,0.29,0.51,Lunch/Snacks,4,1
62.85,29.98,4.41,40.65,Chicken,4,0
191.89,19.29,5.49,3.71,Potato,4,1
133.8,5.48,0.44,57.76,Pork,6,1
2703.12,6.4,2.17,28.2,Pork,6,1
124.79,158.92,1.76,23.07,Breakfast,1,1
0.14,18.12,11.15,87.34,Lunch/Snacks,2,1
393.73,39.26,1.33,17.38,Chicken,1,0
418.22,32.08,19.78,0.29,Beverages,1,0
247.79,32.82,4.57,10.06,Vegetable,2,1
207.37,12.05,22.03,0.38,Beverages,4,0
523.69,1.98,0.72,41.55,Chicken,6,1
627.16,34.96,41.5,16.15,Dessert,6,0
357.15,39.67,2.24,38.63,Chicken,4,0
482.99,53.73,6.53,3.46,Dessert,6,1
158.64,45.71,4.66,91.16,Chicken,2,0
581.7,11.48,7.94,13.64,Chicken,4,1
593.56,243.2,0.6,2.56,Chicken,2,0
539.78,14.84,17.29,21.55,One Dish Meal,2,0
791.99,56.12,2.47,2.77,Potato,4,1
1550.2,72.86,1.49,40.33,Chicken,4,1
653.9,111.8,5.04,0.36,Potato,6,1
160.43,11.37,0.6,0.24,Potato,6,1
337.48,27.98,2.26,19.05,Potato,2,1
71.97,16.94,0.95,3.37,Vegetable,2,1
542.49,6.93,26.16,29.67,Lunch/Snacks,4,0
208.87,32.34,7.41,6.42,Chicken,6,0
,,,,Chicken,6,0
768.51,2.32,4.71,11.19,Chicken,4,0
129.03,51.57,7.66,6.05,Lunch/Snacks,4,1
44.02,6.95,1.23,2.37,Vegetable,4,1
239.36,56.72,18.03,0.13,Beverages,1,0
359.0,1.65,1.11,20.55,Chicken,4,1
866.33,45.08,7.74,64.46,One Dish Meal,1,0
682.73,31.36,5.7,3.58,Potato,2,1
575.07,69.94,1.18,1.8,Vegetable,1,1
125.95,7.85,5.38,0.83,Beverages,2,0
674.84,2.64,3.64,1.26,Vegetable,2,1
659.82,9.88,5.97,4.83,Breakfast,6,0
137.63,191.21,2.05,5.33,Potato,2,1
,,,,Chicken,4,0
462.41,3.49,6.71,0.93,Vegetable,6,1
362.89,34.63,1.2,7.48,Pork,2,1
626.61,10.72,4.47,5.9,Potato,1,1
436.03,7.66,22.3,23.03,Meat,4,1
1767.53,9.96,4.16,70.4,Pork,4,1
416.01,1.84,17.99,1.41,Pork,1,1
33.36,33.62,19.04,13.24,Breakfast,4,0
457.35,12.74,4.83,21.43,Chicken,4,1
435.94,58.65,39.46,11.18,Dessert,1,1
592.12,27.54,2.97,21.88,Lunch/Snacks,4,0
285.01,2.2,15.81,0.76,Beverages,4,0
858.67,5.07,7.47,1.84,Lunch/Snacks,1,1
597.55,19.65,6.19,6.63,Lunch/Snacks,6,1
0.76,1.9,3.76,0.05,Vegetable,2,1
452.39,89.19,3.73,18.72,One Dish Meal,4,0
,,,,Lunch/Snacks,4,1
400.37,23.75,2.21,8.54,Breakfast,2,0
,,,,Meat,1,1
409.99,13.61,1.96,8.77,Vegetable,4,1
31.65,5.42,6.69,13.25,Vegetable,6,1
114.74,32.69,10.02,87.46,Pork,6,1
70.81,27.0,11.18,0.21,Beverages,4,0
1435.35,75.43,17.09,0.36,Lunch/Snacks,1,1
12.97,28.68,11.74,0.61,Beverages,4,0
370.92,6.65,4.55,11.97,Lunch/Snacks,1,0
35.63,2.52,19.21,0.18,Beverages,1,0
223.01,25.99,7.52,11.69,Meat,4,1
239.9,51.13,131.39,3.38,Dessert,2,1
379.16,4.79,0.4,5.27,Chicken,4,0
1878.82,0.8,7.6,89.01,Chicken,1,1
410.92,23.17,1.04,19.34,Meat,6,0
242.1,6.68,0.25,29.82,Pork,4,1
158.46,20.62,6.3,4.75,Vegetable,2,1
487.86,142.22,5.21,1.09,Potato,6,1
,,,,Lunch/Snacks,6,0
25.91,0.82,3.3,44.76,Chicken,4,0
1277.97,4.15,0.29,7.64,Pork,1,1
84.27,5.07,8.97,0.38,Beverages,1,0
293.86,11.43,3.16,0.98,Vegetable,2,1
889.25,13.44,1.61,2.58,One Dish Meal,2,0
167.09,7.7,30.73,12.87,Dessert,6,0
179.45,15.19,2.23,2.53,Potato,1,1
649.83,21.64,1.69,0.13,Meat,2,1
1706.75,24.59,5.35,39.53,Meat,4,1
406.05,128.22,18.58,15.06,Breakfast,2,0
73.91,35.05,2.09,14.68,Vegetable,6,1
581.04,38.52,0.1,82.85,Chicken,1,1
908.63,42.53,1.21,46.13,Pork,4,1
491.01,33.94,6.08,5.45,Dessert,4,0
1053.21,12.03,16.64,4.92,One Dish Meal,2,1
87.17,13.21,0.39,158.81,Meat,4,0
135.76,21.48,7.94,7.3,Chicken,4,0
132.29,50.28,1.88,22.89,Breakfast,4,0
166.73,15.74,4.34,169.78,Meat,4,1
92.21,8.53,0.24,14.14,Lunch/Snacks,4,1
472.91,8.68,1.91,15.08,Meat,4,1
409.03,71.58,5.73,125.66,Chicken,2,1
31.75,16.71,1.02,23.14,Breakfast,1,0
76.21,91.25,6.12,3.27,Dessert,4,1
257.71,140.96,9.46,8.77,Breakfast,6,1
49.5,66.64,4.69,53.33,Breakfast,4,0
771.52,96.03,1.49,7.52,Dessert,4,1
718.34,16.61,8.54,4.52,Chicken,4,0
,,,,Potato,4,1
798.39,0.86,0.5,0.4,Vegetable,4,1
561.43,11.83,9.0,189.33,Pork,6,1
552.83,39.55,3.61,48.54,Potato,4,1
684.88,41.08,2.0,1.48,Beverages,2,0
970.22,177.22,1.8,6.44,Lunch/Snacks,2,1
20.81,33.92,5.44,18.54,Lunch/Snacks,4,1
561.44,43.26,0.14,96.27,Chicken,6,0
532.01,31.76,1.44,17.96,Lunch/Snacks,4,1
152.42,12.11,0.38,5.56,One Dish Meal,2,0
857.34,67.38,4.97,2.8,Dessert,4,0
138.11,3.7,5.24,63.56,Chicken,4,1
482.51,26.21,5.29,18.93,Potato,4,1
288.55,142.28,50.17,0.47,Dessert,4,0
1251.42,12.28,0.17,0.59,Lunch/Snacks,4,1
23.64,102.52,14.22,61.22,One Dish Meal,4,1
111.1,37.55,6.6,239.57,Lunch/Snacks,2,0
958.28,50.02,0.98,9.27,Breakfast,6,1
134.48,45.5,37.08,0.2,Chicken,4,0
187.46,47.62,16.3,78.81,Pork,1,1
110.69,58.8,45.33,1.23,Dessert,6,1
416.12,3.43,1.05,10.12,Chicken,6,1
1199.2,40.96,1.55,29.53,Pork,6,1
94.27,383.06,5.98,39.61,Potato,1,1
45.62,15.34,3.27,2.16,Breakfast,6,1
,,,,Potato,4,1
781.15,3.91,0.39,21.41,Pork,4,1
1045.21,5.12,1.79,70.69,Meat,4,0
,,,,Pork,4,1
1337.71,3.84,8.48,0.95,Vegetable,6,1
2282.6,4.5,4.16,31.19,One Dish Meal,4,1
259.36,20.05,3.45,91.16,Meat,4,1
231.2,15.18,6.96,70.75,Chicken,1,1
136.46,31.09,2.4,6.77,Potato,2,1
850.16,2.56,1.52,9.31,Lunch/Snacks,6,1
1007.85,3.43,5.78,59.23,Chicken,4,1
521.78,76.37,12.63,8.62,Potato,6,1
11.6,39.04,13.91,4.06,Dessert,4,0
268.04,77.7,2.43,0.88,Beverages,2,0
516.76,13.59,2.96,50.19,Chicken,4,0
34.97,16.88,4.54,14.04,Vegetable,4,1
123.02,202.66,16.0,8.14,Dessert,6,1
578.4,9.43,4.4,8.36,Chicken,1,1
199.54,9.1,8.17,10.1,Meat,6,1
1205.68,2.78,1.24,109.92,Meat,6,0
259.95,18.93,5.08,0.33,Vegetable,6,1
,,,,Vegetable,2,1
877.29,16.62,37.05,21.09,Pork,4,1
298.69,1.18,11.47,0.03,Beverages,6,0
265.71,11.68,11.7,0.79,Vegetable,2,1
,,,,Pork,6,1
182.21,11.66,0.91,73.94,Chicken,4,1
235.91,43.2,41.24,4.27,Dessert,1,1
75.89,22.51,8.18,17.64,Meat,6,1
434.29,64.57,2.91,7.16,Potato,2,1
1362.81,26.21,1.94,125.43,Chicken,4,0
275.96,29.94,13.22,7.49,Chicken,1,1
708.64,45.44,4.55,221.91,Chicken,6,1
338.74,70.14,0.58,13.36,Chicken,4,0
75.17,6.45,8.59,0.73,Beverages,2,1
90.01,60.18,15.52,17.64,Breakfast,4,0
2.14,20.11,0.16,1.42,Beverages,4,0
,,,,Lunch/Snacks,4,1
255.58,47.45,1.58,4.92,Vegetable,4,1
259.83,89.3,1.61,6.0,Breakfast,4,0
110.07,4.07,9.1,8.88,Potato,6,1
460.49,18.84,16.96,52.0,Chicken,4,0
46.66,4.7,13.11,35.28,Chicken,1,0
50.94,37.18,0.5,10.84,Breakfast,1,0
90.95,15.03,5.32,19.29,Breakfast,1,1
64.36,11.28,12.47,20.87,Potato,4,1
2051.34,2.46,2.12,69.62,Chicken,2,1
128.3,14.75,3.01,16.34,Pork,4,1
71.87,31.44,1.34,32.45,Chicken,2,0
338.71,59.94,12.26,30.72,Breakfast,4,0
633.87,16.11,2.47,7.25,Lunch/Snacks,6,0
291.64,2.12,42.8,11.05,Breakfast,6,0
126.96,19.11,18.17,0.18,Beverages,4,0
141.15,68.04,1.48,6.95,Meat,4,1
,,,,Vegetable,4,1
169.83,42.42,1.98,31.1,Meat,4,1
262.09,2.8,8.68,0.08,Beverages,6,0
1073.39,8.32,16.11,8.15,Lunch/Snacks,4,0
108.62,13.68,6.72,0.23,Beverages,2,0
378.65,38.0,5.39,24.04,Meat,6,0
617.5,14.68,9.88,3.12,Dessert,6,1
237.97,3.35,1.21,5.4,Vegetable,6,1
150.83,118.2,0.75,6.27,Potato,4,1
602.74,28.03,2.92,5.8,Breakfast,1,0
468.76,35.6,1.99,20.66,Meat,4,1
652.18,53.19,28.18,2.6,Breakfast,6,0
715.66,8.98,1.97,0.93,Vegetable,4,1
1830.28,3.92,1.83,44.74,Chicken,1,1
536.42,8.87,2.08,38.47,Chicken,4,1
94.04,5.17,0.68,0.01,Beverages,2,0
332.19,25.86,1.04,20.25,Meat,4,1
240.52,19.5,5.64,2.44,Pork,4,1
199.34,22.88,32.7,0.15,Beverages,2,0
76.28,119.63,0.41,17.79,Lunch/Snacks,4,1
1263.15,5.14,16.54,100.46,Meat,2,1
187.41,19.12,86.97,4.49,Dessert,6,0
,,,,Vegetable,4,1
1646.83,101.11,2.77,14.87,Meat,1,1
158.84,19.75,12.66,10.07,Breakfast,4,0
11.73,17.57,6.07,0.91,Beverages,4,0
402.0,47.57,0.36,0.02,Beverages,6,0
999.98,36.65,5.66,16.72,Chicken,4,1
48.93,65.68,1.62,9.55,Meat,4,1
310.52,12.54,3.21,1.6,Chicken,6,0
305.09,21.98,30.6,11.79,Lunch/Snacks,4,1
726.23,42.72,1.62,19.19,One Dish Meal,6,1
1503.92,13.49,4.79,1.9,Chicken,6,0
151.88,7.41,6.09,40.24,One Dish Meal,4,1
114.08,15.13,1.81,38.6,Chicken,1,1
295.62,22.47,29.72,7.76,Dessert,6,1
538.88,6.84,6.95,43.91,One Dish Meal,2,0
108.28,60.94,7.79,55.46,One Dish Meal,4,1
716.79,24.93,3.32,16.11,Meat,6,1
245.53,4.92,22.74,82.39,Chicken,6,0
374.35,15.19,9.22,2.49,Dessert,2,1
125.76,9.18,0.54,85.32,Chicken,2,1
452.51,2.86,9.5,16.78,Chicken,2,0
403.7,1.97,13.94,1.08,Breakfast,4,0
144.28,39.63,8.81,14.59,Pork,4,1
182.76,530.42,5.8,5.01,Potato,4,1
1542.53,14.73,5.71,29.92,Lunch/Snacks,4,1
361.17,21.52,3.38,19.22,Lunch/Snacks,6,0
49.2,173.93,3.53,5.96,Breakfast,2,0
18.23,22.32,5.14,18.37,Potato,6,1
,,,,Pork,6,1
286.7,29.92,2.8,28.07,Breakfast,4,1
796.74,44.85,2.36,3.44,Potato,4,1
259.32,90.65,3.8,85.81,One Dish Meal,1,1
725.82,41.68,1.51,7.78,Potato,6,1
1179.5,0.31,13.7,1.42,One Dish Meal,4,1
349.29,6.18,1.92,25.18,Vegetable,2,1
891.7,3.0,4.97,31.36,Breakfast,4,1
189.27,9.54,6.47,0.34,Beverages,6,0
108.58,21.67,0.24,11.24,Vegetable,1,1
51.81,25.43,0.87,42.7,One Dish Meal,2,0
47.89,4.2,11.78,0.93,Beverages,6,0
29.19,1.33,66.03,2.56,Dessert,6,1
27.11,22.63,4.93,0.0,Beverages,1,0
751.18,163.33,13.71,29.39,Lunch/Snacks,6,0
1272.1,3.13,0.73,25.44,Chicken,1,0
1241.83,6.01,10.36,11.99,Pork,4,1
